id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan,
3175011005,3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,80,0,80,0,24,5,17,2,18,2,5,1,10,
3175031005,3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,88,0,88,0,28,1,25,2,10,0,9,1,0,
3173031007,3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,35,1,34,0,5,0,5,0,2,0,1,1,0,
3174071004,3174071004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,55,0,55,0,4,0,4,0,5,1,4,0,0,
3172011001,3172011001,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,1842,1,1839,2,67,6,57,4,161,13,90,6,52,
3174071010,3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,159,0,159,0,52,2,48,2,17,1,10,1,5,
3172031003,3172031003,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,255,2,253,0,71,4,67,0,76,2,55,3,16,
3171011004,3171011004,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,249,0,249,0,17,3,13,1,27,4,8,1,14,
3171071006,3171071006,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,389,2,387,0,50,4,45,1,98,0,87,8,3,
3173041005,3173041005,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,131,1,129,1,18,3,14,1,35,1,17,2,15,
3171081003,3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,182,0,182,0,8,0,8,0,14,2,5,1,6,
3175091005,3175091005,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,278,1,277,0,29,0,28,1,21,1,6,0,14,
3173031003,3173031003,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,193,0,193,0,17,1,15,1,67,1,61,0,5,
3175041006,3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,161,0,161,0,20,1,18,1,20,1,13,0,6,
3175031007,3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,107,3,104,0,17,0,16,1,17,1,12,1,3,
3171031006,3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,223,2,221,0,39,6,33,0,57,2,24,7,24,
3173041008,3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,98,0,98,0,19,2,17,0,8,0,7,0,1,
3175041003,3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,122,1,121,0,25,1,23,1,14,0,10,0,4,
3171011006,3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,112,0,112,0,18,0,15,3,18,1,10,0,7,
3172021003,3172021003,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,176,1,175,0,26,1,25,0,13,1,9,1,2,
3172041007,3172041007,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,402,0,401,1,45,4,40,1,69,3,28,1,37,
3172011003,3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,127,0,127,0,11,0,11,0,18,2,14,2,0,
3175011002,3175011002,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,213,2,211,0,43,2,41,0,18,2,10,2,4,
3171051001,3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,659,2,656,1,76,2,74,0,74,1,58,1,14,
3171071003,3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,143,1,142,0,22,4,18,0,13,1,10,1,1,
3172041001,3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,402,1,401,0,40,3,36,1,43,2,31,1,9,
3172031006,3172031006,DKI JAKARTA,JAKARTA UTARA,KOJA,RAWA BADAK SELATAN,253,1,251,1,42,1,39,2,41,3,28,2,8,
3174011007,3174011007,DKI JAKARTA,JAKARTA SELATAN,TEBET,MANGGARAI,209,2,207,0,18,1,17,0,18,2,4,0,12,
3175101001,3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,189,0,189,0,43,2,39,2,26,4,15,1,6,
3175101008,3175101008,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CEGER,92,0,92,0,22,0,22,0,5,0,1,0,4,
3173031004,3173031004,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,TANGKI,179,0,179,0,15,2,13,0,14,0,8,1,5,
3172051001,3172051001,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN TIMUR,449,0,448,1,46,3,43,0,34,0,23,2,9,
3172021007,3172021007,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,240,0,240,0,37,2,33,2,38,2,20,1,15,
3172031001,3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,175,1,174,0,32,0,32,0,16,1,9,0,6,
3175091004,3175091004,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,SUSUKAN,480,2,477,1,10,0,9,1,20,2,6,1,11,
3175051001,3175051001,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,GEDONG,243,2,241,0,43,0,43,0,38,1,26,0,11,
3175071006,3175071006,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,155,2,153,0,28,0,27,1,27,1,18,0,8,
3174031001,3174031001,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,303,0,303,0,28,2,24,2,13,2,6,2,3,
3171021005,3171021005,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,164,6,158,0,24,0,23,1,22,6,15,0,1,
3175031004,3175031004,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,33,0,33,0,6,0,6,0,11,0,9,0,2,
3173071006,3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,490,1,489,0,48,1,44,3,62,4,19,3,36,
3173061002,3173061002,DKI JAKARTA,JAKARTA BARAT,KALI DERES,SEMANAN,365,1,364,0,26,1,23,2,19,0,11,1,7,
3171021003,3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,271,2,268,1,54,4,49,1,45,9,24,1,11,
3175011004,3175011004,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PAL MERIAM,326,1,325,0,48,3,43,2,42,1,28,4,9,
