tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-06-22,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,PELAYAN PUBLIK,DOSIS 1,3973
2021-06-22,3171041001,JAKARTA PUSAT,SENEN,SENEN,PELAYAN PUBLIK,DOSIS 1,1475
2021-06-22,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,PELAYAN PUBLIK,DOSIS 1,5607
2021-06-22,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,PELAYAN PUBLIK,DOSIS 1,4086
2021-06-22,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,PELAYAN PUBLIK,DOSIS 1,7354
2021-06-22,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,PELAYAN PUBLIK,DOSIS 1,4443
2021-06-23,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,PELAYAN PUBLIK,DOSIS 1,4457
2021-06-23,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,PELAYAN PUBLIK,DOSIS 1,3531
2021-06-23,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,PELAYAN PUBLIK,DOSIS 1,5476
2021-06-23,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,PELAYAN PUBLIK,DOSIS 1,5738
2021-06-23,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,PELAYAN PUBLIK,DOSIS 1,4691
2021-06-23,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,PELAYAN PUBLIK,DOSIS 1,3287
2021-06-23,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,PELAYAN PUBLIK,DOSIS 1,1474
2021-06-23,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,PELAYAN PUBLIK,DOSIS 1,3237
2021-06-23,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,PELAYAN PUBLIK,DOSIS 1,4164
2021-06-23,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,PELAYAN PUBLIK,DOSIS 1,654
2021-06-23,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,PELAYAN PUBLIK,DOSIS 1,566
2021-06-23,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,PELAYAN PUBLIK,DOSIS 1,1067
2021-06-23,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,PELAYAN PUBLIK,DOSIS 1,3579
2021-06-23,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,PELAYAN PUBLIK,DOSIS 1,3890
2021-06-23,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,PELAYAN PUBLIK,DOSIS 1,3895
