tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,dosis,jumlah_vaksin
2021-07-06,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Tahapan 3,Dosis 1,3106
2021-07-06,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Tahapan 3,Dosis 1,2976
2021-07-06,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Tahapan 3,Dosis 1,3164
2021-07-06,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Tahapan 3,Dosis 1,6579
2021-07-06,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Tahapan 3,Dosis 1,1335
2021-07-06,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Tahapan 3,Dosis 1,5225
2021-07-06,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Tahapan 3,Dosis 1,4293
2021-07-06,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Tahapan 3,Dosis 1,2863
2021-07-06,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Tahapan 3,Dosis 1,3778
2021-07-06,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Tahapan 3,Dosis 1,2178
2021-07-06,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Tahapan 3,Dosis 1,1314
2021-07-06,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Tahapan 3,Dosis 1,4524
2021-07-06,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Tahapan 3,Dosis 1,2647
2021-07-06,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Tahapan 3,Dosis 1,1239
2021-07-06,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Tahapan 3,Dosis 1,3742
2021-07-06,3171041002,JAKARTA PUSAT,SENEN,KENARI,Tahapan 3,Dosis 1,1552
2021-07-06,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,Tahapan 3,Dosis 1,3806
2021-07-06,3171041005,JAKARTA PUSAT,SENEN,KWITANG,Tahapan 3,Dosis 1,2547
2021-07-06,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Tahapan 3,Dosis 1,4481
2021-07-06,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,Tahapan 3,Dosis 1,2494
2021-07-06,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Tahapan 3,Dosis 1,2376
2021-07-06,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,Tahapan 3,Dosis 1,3421
2021-07-06,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Tahapan 3,Dosis 1,2740
2021-07-06,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Tahapan 3,Dosis 1,3059
2021-07-06,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Tahapan 3,Dosis 1,2001
2021-07-06,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Tahapan 3,Dosis 1,2403
2021-07-06,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Tahapan 3,Dosis 1,3018
2021-07-06,3171041001,JAKARTA PUSAT,SENEN,SENEN,Tahapan 3,Dosis 1,1009
2021-07-06,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,Tahapan 3,Dosis 1,4534
2021-07-06,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Tahapan 3,Dosis 1,3553
2021-07-06,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Tahapan 3,Dosis 1,7440
2021-07-06,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Tahapan 3,Dosis 1,3820
2021-07-07,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Tahapan 3,Dosis 1,3464
2021-07-07,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,Tahapan 3,Dosis 1,3470
2021-07-07,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Tahapan 3,Dosis 1,4283
2021-07-07,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Tahapan 3,Dosis 1,4333
2021-07-07,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Tahapan 3,Dosis 1,3697
2021-07-07,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,Tahapan 3,Dosis 1,2662
2021-07-07,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,Tahapan 3,Dosis 1,1028
2021-07-07,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,Tahapan 3,Dosis 1,2880
2021-07-07,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,Tahapan 3,Dosis 1,4433
2021-07-07,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,Tahapan 3,Dosis 1,393
2021-07-07,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,Tahapan 3,Dosis 1,420
2021-07-07,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,Tahapan 3,Dosis 1,621
2021-07-07,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Tahapan 3,Dosis 1,3274
2021-07-07,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Tahapan 3,Dosis 1,3120
2021-07-07,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Tahapan 3,Dosis 1,3419
2021-07-07,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Tahapan 3,Dosis 1,6826
2021-07-07,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Tahapan 3,Dosis 1,1435
2021-07-07,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Tahapan 3,Dosis 1,5378
2021-07-07,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Tahapan 3,Dosis 1,4522
2021-07-07,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Tahapan 3,Dosis 1,3015
2021-07-07,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Tahapan 3,Dosis 1,4009
2021-07-07,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Tahapan 3,Dosis 1,2322
2021-07-07,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Tahapan 3,Dosis 1,1371
2021-07-07,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Tahapan 3,Dosis 1,4935
2021-07-07,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Tahapan 3,Dosis 1,2827
2021-07-07,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Tahapan 3,Dosis 1,1308
2021-07-07,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Tahapan 3,Dosis 1,3958
2021-07-07,3171041002,JAKARTA PUSAT,SENEN,KENARI,Tahapan 3,Dosis 1,1630
2021-07-07,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,Tahapan 3,Dosis 1,4025
2021-07-07,3171041005,JAKARTA PUSAT,SENEN,KWITANG,Tahapan 3,Dosis 1,2642
2021-07-07,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Tahapan 3,Dosis 1,4775
2021-07-07,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,Tahapan 3,Dosis 1,2661
2021-07-07,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Tahapan 3,Dosis 1,2462
2021-07-07,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,Tahapan 3,Dosis 1,3675
2021-07-07,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Tahapan 3,Dosis 1,2898
2021-07-07,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Tahapan 3,Dosis 1,3248
2021-07-07,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Tahapan 3,Dosis 1,2123
2021-07-07,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Tahapan 3,Dosis 1,2517
2021-07-07,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Tahapan 3,Dosis 1,3326
2021-07-07,3171041001,JAKARTA PUSAT,SENEN,SENEN,Tahapan 3,Dosis 1,1040
2021-07-07,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,Tahapan 3,Dosis 1,4762
2021-07-07,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Tahapan 3,Dosis 1,3771
2021-07-07,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Tahapan 3,Dosis 1,7987
2021-07-07,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Tahapan 3,Dosis 1,4192
2021-07-08,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Tahapan 3,Dosis 1,3552
2021-07-08,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,Tahapan 3,Dosis 1,3540
2021-07-08,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Tahapan 3,Dosis 1,4370
2021-07-08,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Tahapan 3,Dosis 1,4500
2021-07-08,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Tahapan 3,Dosis 1,3790
2021-07-08,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,Tahapan 3,Dosis 1,2704
2021-07-08,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,Tahapan 3,Dosis 1,1037
2021-07-08,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,Tahapan 3,Dosis 1,2934
2021-07-08,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,Tahapan 3,Dosis 1,4500
2021-07-08,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,Tahapan 3,Dosis 1,408
2021-07-08,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,Tahapan 3,Dosis 1,432
2021-07-08,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,Tahapan 3,Dosis 1,636
2021-07-08,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Tahapan 3,Dosis 1,3332
2021-07-08,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Tahapan 3,Dosis 1,3202
2021-07-08,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Tahapan 3,Dosis 1,3498
2021-07-08,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Tahapan 3,Dosis 1,6938
2021-07-08,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Tahapan 3,Dosis 1,1495
2021-07-08,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Tahapan 3,Dosis 1,5428
2021-07-08,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Tahapan 3,Dosis 1,4619
2021-07-08,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Tahapan 3,Dosis 1,3105
2021-07-08,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Tahapan 3,Dosis 1,4089
2021-07-08,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Tahapan 3,Dosis 1,2379
2021-07-08,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Tahapan 3,Dosis 1,1421
2021-07-08,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Tahapan 3,Dosis 1,5035
2021-07-08,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Tahapan 3,Dosis 1,2889
2021-07-08,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Tahapan 3,Dosis 1,1345
2021-07-08,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Tahapan 3,Dosis 1,4019
2021-07-08,3171041002,JAKARTA PUSAT,SENEN,KENARI,Tahapan 3,Dosis 1,1647
2021-07-08,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,Tahapan 3,Dosis 1,4116
2021-07-08,3171041005,JAKARTA PUSAT,SENEN,KWITANG,Tahapan 3,Dosis 1,2678
2021-07-08,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Tahapan 3,Dosis 1,4879
2021-07-08,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,Tahapan 3,Dosis 1,2742
2021-07-08,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Tahapan 3,Dosis 1,2486
2021-07-08,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,Tahapan 3,Dosis 1,3763
2021-07-08,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Tahapan 3,Dosis 1,2963
2021-07-08,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Tahapan 3,Dosis 1,3339
2021-07-08,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Tahapan 3,Dosis 1,2202
2021-07-08,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Tahapan 3,Dosis 1,2586
2021-07-08,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Tahapan 3,Dosis 1,3434
2021-07-08,3171041001,JAKARTA PUSAT,SENEN,SENEN,Tahapan 3,Dosis 1,1158
2021-07-08,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,Tahapan 3,Dosis 1,4850
2021-07-08,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Tahapan 3,Dosis 1,3823
2021-07-08,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,Tahapan 3,Dosis 1,8201
2021-07-08,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Tahapan 3,Dosis 1,4304
2021-07-09,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Tahapan 3,Dosis 1,3538
2021-07-09,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,Tahapan 3,Dosis 1,3390
2021-07-09,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Tahapan 3,Dosis 1,4436
2021-07-09,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Tahapan 3,Dosis 1,4469
