id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sektor,status_higiene_sanitasi,jumlah_tpm,satuan,tahun
127,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,770,UNIT,2018
128,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,632,UNIT,2018
129,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,414,UNIT,2018
130,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,188,UNIT,2018
131,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,JASA BOGA,MEMENUHI SYARAT,43,UNIT,2018
132,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,JASA BOGA,TIDAK MEMENUHI SYARAT,12,UNIT,2018
133,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN JAJANAN,MEMENUHI SYARAT,802,UNIT,2018
134,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,588,UNIT,2018
135,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,131,UNIT,2018
136,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,113,UNIT,2018
137,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,108,UNIT,2018
138,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,52,UNIT,2018
139,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA BOGA,MEMENUHI SYARAT,46,UNIT,2018
140,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,JASA BOGA,TIDAK MEMENUHI SYARAT,19,UNIT,2018
141,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MAKANAN JAJANAN,MEMENUHI SYARAT,393,UNIT,2018
142,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,194,UNIT,2018
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,107,UNIT,2018
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,97,UNIT,2018
145,32,JAWA BARAT,3271,KOTA BOGOR,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,167,UNIT,2018
146,32,JAWA BARAT,3271,KOTA BOGOR,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,126,UNIT,2018
147,32,JAWA BARAT,3271,KOTA BOGOR,JASA BOGA,MEMENUHI SYARAT,144,UNIT,2018
148,32,JAWA BARAT,3271,KOTA BOGOR,JASA BOGA,TIDAK MEMENUHI SYARAT,9,UNIT,2018
149,32,JAWA BARAT,3271,KOTA BOGOR,MAKANAN JAJANAN,MEMENUHI SYARAT,1177,UNIT,2018
150,32,JAWA BARAT,3271,KOTA BOGOR,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,964,UNIT,2018
151,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,421,UNIT,2018
152,32,JAWA BARAT,3271,KOTA BOGOR,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,256,UNIT,2018
153,32,JAWA BARAT,3272,KOTA SUKABUMI,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,138,UNIT,2018
154,32,JAWA BARAT,3272,KOTA SUKABUMI,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,76,UNIT,2018
155,32,JAWA BARAT,3272,KOTA SUKABUMI,JASA BOGA,MEMENUHI SYARAT,18,UNIT,2018
156,32,JAWA BARAT,3272,KOTA SUKABUMI,JASA BOGA,TIDAK MEMENUHI SYARAT,17,UNIT,2018
157,32,JAWA BARAT,3272,KOTA SUKABUMI,MAKANAN JAJANAN,MEMENUHI SYARAT,164,UNIT,2018
158,32,JAWA BARAT,3272,KOTA SUKABUMI,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,612,UNIT,2018
159,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,26,UNIT,2018
160,32,JAWA BARAT,3272,KOTA SUKABUMI,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,39,UNIT,2018
161,32,JAWA BARAT,3273,KOTA BANDUNG,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,64,UNIT,2018
162,32,JAWA BARAT,3273,KOTA BANDUNG,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,691,UNIT,2018
163,32,JAWA BARAT,3273,KOTA BANDUNG,JASA BOGA,MEMENUHI SYARAT,55,UNIT,2018
164,32,JAWA BARAT,3273,KOTA BANDUNG,JASA BOGA,TIDAK MEMENUHI SYARAT,165,UNIT,2018
165,32,JAWA BARAT,3273,KOTA BANDUNG,MAKANAN JAJANAN,MEMENUHI SYARAT,320,UNIT,2018
166,32,JAWA BARAT,3273,KOTA BANDUNG,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,150,UNIT,2018
167,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,64,UNIT,2018
168,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,312,UNIT,2018
169,32,JAWA BARAT,3274,KOTA CIREBON,DEPOT AIR MINUM (DAM),MEMENUHI SYARAT,102,UNIT,2018
170,32,JAWA BARAT,3274,KOTA CIREBON,DEPOT AIR MINUM (DAM),TIDAK MEMENUHI SYARAT,51,UNIT,2018
171,32,JAWA BARAT,3274,KOTA CIREBON,JASA BOGA,MEMENUHI SYARAT,40,UNIT,2018
172,32,JAWA BARAT,3274,KOTA CIREBON,JASA BOGA,TIDAK MEMENUHI SYARAT,10,UNIT,2018
173,32,JAWA BARAT,3274,KOTA CIREBON,MAKANAN JAJANAN,MEMENUHI SYARAT,436,UNIT,2018
174,32,JAWA BARAT,3274,KOTA CIREBON,MAKANAN JAJANAN,TIDAK MEMENUHI SYARAT,100,UNIT,2018
175,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH MAKAN/RESTORAN,MEMENUHI SYARAT,119,UNIT,2018
176,32,JAWA BARAT,3274,KOTA CIREBON,RUMAH MAKAN/RESTORAN,TIDAK MEMENUHI SYARAT,20,UNIT,2018
