id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,jumlah_tempat_umum,satuan,tahun
153,32,JAWA BARAT,3274,KOTA CIREBON,HOTEL BINTANG,18,UNIT,2018
154,32,JAWA BARAT,3274,KOTA CIREBON,HOTEL NON-BINTANG,37,UNIT,2018
155,32,JAWA BARAT,3275,KOTA BEKASI,SD,742,UNIT,2018
156,32,JAWA BARAT,3275,KOTA BEKASI,SMP,290,UNIT,2018
157,32,JAWA BARAT,3275,KOTA BEKASI,SMA,201,UNIT,2018
158,32,JAWA BARAT,3275,KOTA BEKASI,PUSKESMAS,42,UNIT,2018
159,32,JAWA BARAT,3275,KOTA BEKASI,RUMAH SAKIT UMUM,40,UNIT,2018
160,32,JAWA BARAT,3275,KOTA BEKASI,HOTEL BINTANG,10,UNIT,2018
161,32,JAWA BARAT,3275,KOTA BEKASI,HOTEL NON-BINTANG,16,UNIT,2018
162,32,JAWA BARAT,3276,KOTA DEPOK,SD,437,UNIT,2018
163,32,JAWA BARAT,3276,KOTA DEPOK,SMP,200,UNIT,2018
164,32,JAWA BARAT,3276,KOTA DEPOK,SMA,121,UNIT,2018
165,32,JAWA BARAT,3276,KOTA DEPOK,PUSKESMAS,35,UNIT,2018
166,32,JAWA BARAT,3276,KOTA DEPOK,RUMAH SAKIT UMUM,21,UNIT,2018
167,32,JAWA BARAT,3276,KOTA DEPOK,HOTEL BINTANG,5,UNIT,2018
168,32,JAWA BARAT,3276,KOTA DEPOK,HOTEL NON-BINTANG,6,UNIT,2018
169,32,JAWA BARAT,3277,KOTA CIMAHI,SD,75,UNIT,2018
170,32,JAWA BARAT,3277,KOTA CIMAHI,SMP,34,UNIT,2018
171,32,JAWA BARAT,3277,KOTA CIMAHI,SMA,29,UNIT,2018
172,32,JAWA BARAT,3277,KOTA CIMAHI,PUSKESMAS,12,UNIT,2018
173,32,JAWA BARAT,3277,KOTA CIMAHI,RUMAH SAKIT UMUM,1,UNIT,2018
174,32,JAWA BARAT,3277,KOTA CIMAHI,HOTEL BINTANG,1,UNIT,2018
175,32,JAWA BARAT,3277,KOTA CIMAHI,HOTEL NON-BINTANG,0,UNIT,2018
176,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SD,104,UNIT,2018
177,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMP,31,UNIT,2018
178,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SMA,26,UNIT,2018
179,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PUSKESMAS,19,UNIT,2018
180,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUMAH SAKIT UMUM,7,UNIT,2018
181,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HOTEL BINTANG,3,UNIT,2018
182,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HOTEL NON-BINTANG,1,UNIT,2018
183,32,JAWA BARAT,3279,KOTA BANJAR,SD,91,UNIT,2018
184,32,JAWA BARAT,3279,KOTA BANJAR,SMP,28,UNIT,2018
185,32,JAWA BARAT,3279,KOTA BANJAR,SMA,25,UNIT,2018
186,32,JAWA BARAT,3279,KOTA BANJAR,PUSKESMAS,10,UNIT,2018
187,32,JAWA BARAT,3279,KOTA BANJAR,RUMAH SAKIT UMUM,1,UNIT,2018
188,32,JAWA BARAT,3279,KOTA BANJAR,HOTEL BINTANG,0,UNIT,2018
189,32,JAWA BARAT,3279,KOTA BANJAR,HOTEL NON-BINTANG,4,UNIT,2018
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,SD,733,UNIT,2019
191,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMP,317,UNIT,2019
192,32,JAWA BARAT,3201,KABUPATEN BOGOR,SMA,97,UNIT,2019
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,PUSKESMAS,101,UNIT,2019
194,32,JAWA BARAT,3201,KABUPATEN BOGOR,RUMAH SAKIT,23,UNIT,2019
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,HOTEL BINTANG,0,UNIT,2019
196,32,JAWA BARAT,3201,KABUPATEN BOGOR,HOTEL NON BINTANG,0,UNIT,2019
