id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,penyebab_kematian,jumlah_kematian,satuan,tahun
132,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,2,ORANG,2019
133,32,JAWA BARAT,3275,KOTA BEKASI,BBLR,9,ORANG,2019
134,32,JAWA BARAT,3275,KOTA BEKASI,ASFIKSIA,8,ORANG,2019
135,32,JAWA BARAT,3275,KOTA BEKASI,TETANUS NEONATORUM,0,ORANG,2019
136,32,JAWA BARAT,3275,KOTA BEKASI,SEPSIS,2,ORANG,2019
137,32,JAWA BARAT,3275,KOTA BEKASI,KELAINAN BAWAAN,2,ORANG,2019
138,32,JAWA BARAT,3275,KOTA BEKASI,LAIN-LAIN,28,ORANG,2019
139,32,JAWA BARAT,3276,KOTA DEPOK,BBLR,22,ORANG,2019
140,32,JAWA BARAT,3276,KOTA DEPOK,ASFIKSIA,14,ORANG,2019
141,32,JAWA BARAT,3276,KOTA DEPOK,TETANUS NEONATORUM,0,ORANG,2019
142,32,JAWA BARAT,3276,KOTA DEPOK,SEPSIS,6,ORANG,2019
143,32,JAWA BARAT,3276,KOTA DEPOK,KELAINAN BAWAAN,19,ORANG,2019
144,32,JAWA BARAT,3276,KOTA DEPOK,LAIN-LAIN,9,ORANG,2019
145,32,JAWA BARAT,3277,KOTA CIMAHI,BBLR,18,ORANG,2019
146,32,JAWA BARAT,3277,KOTA CIMAHI,ASFIKSIA,13,ORANG,2019
147,32,JAWA BARAT,3277,KOTA CIMAHI,TETANUS NEONATORUM,0,ORANG,2019
148,32,JAWA BARAT,3277,KOTA CIMAHI,SEPSIS,3,ORANG,2019
149,32,JAWA BARAT,3277,KOTA CIMAHI,KELAINAN BAWAAN,9,ORANG,2019
150,32,JAWA BARAT,3277,KOTA CIMAHI,LAIN-LAIN,5,ORANG,2019
151,32,JAWA BARAT,3278,KOTA TASIKMALAYA,BBLR,21,ORANG,2019
152,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ASFIKSIA,10,ORANG,2019
153,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TETANUS NEONATORUM,0,ORANG,2019
154,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SEPSIS,0,ORANG,2019
155,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KELAINAN BAWAAN,7,ORANG,2019
156,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAIN-LAIN,7,ORANG,2019
157,32,JAWA BARAT,3279,KOTA BANJAR,BBLR,7,ORANG,2019
158,32,JAWA BARAT,3279,KOTA BANJAR,ASFIKSIA,4,ORANG,2019
159,32,JAWA BARAT,3279,KOTA BANJAR,TETANUS NEONATORUM,0,ORANG,2019
160,32,JAWA BARAT,3279,KOTA BANJAR,SEPSIS,0,ORANG,2019
161,32,JAWA BARAT,3279,KOTA BANJAR,KELAINAN BAWAAN,3,ORANG,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,LAIN-LAIN,3,ORANG,2019
